,assist_percentage,away_losses,block_percentage,conference_losses,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws_per_field_goal_attempt,home_losses,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_points,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_turnover_percentage,opp_two_point_field_goal_percentage,pace,points,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,major,abb,abbreviation,assists,away_wins,blocks,conference,conference_wins,defensive_rebounds,field_goal_attempts,field_goals,free_throws,games_played,home_wins,losses,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goals,opp_free_throw_attempts,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goals,personal_fouls,steals,three_point_field_goal_attempts,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goals,wins,cluster,math_cluster,k_vs_math_match
0,58.9,8,5.0,12,0.53,0.45299999999999996,0.36700000000000005,588,0.73,0.268,7,-1.4,105.7,22.7,53.4,8.5,0.5479999999999999,0.46,0.294,0.706,0.20800000000000002,107.1,22.4,2156,9.0,0.478,0.368,49.9,0.5720000000000001,15.0,0.545,69.4,2127,-0.74,7.1,2.34,0.413,0.375,50.1,0.5660000000000001,16.1,0.508,0.379,1,AIR-FORCE,AIR-FORCE,427,3,43,mwc,5,739,1601,725,429,29,8,18,1160,Air Force,218,406,80,742,1653,761,486,343,213,553,182,790,291,955,332,863,470,487,142,662,248,957,361,939,477,11,2,2,True
1,51.9,7,10.8,8,0.527,0.441,0.35,627,0.6920000000000001,0.242,4,5.3,106.4,29.7,43.1,12.5,0.47200000000000003,0.42,0.35700000000000004,0.742,0.265,101.1,30.4,2207,10.9,0.34700000000000003,0.303,50.0,0.517,15.5,0.48200000000000004,76.6,2323,12.32,8.2,8.17,0.48700000000000004,0.354,50.0,0.556,16.7,0.523,0.536,2,ALABAMA,ALABAMA,410,4,129,sec,7,791,1792,790,434,28,9,13,1140,Alabama,325,330,115,771,1825,766,651,483,346,557,239,634,192,1117,392,1191,574,560,179,872,309,1116,420,920,481,15,2,2,True
2,41.2,4,9.5,5,0.493,0.434,0.32299999999999995,551,0.688,0.222,2,5.5,100.2,26.5,50.7,9.6,0.488,0.426,0.341,0.67,0.228,94.7,27.9,1949,8.8,0.38,0.32799999999999996,51.1,0.518,19.5,0.486,73.5,2061,11.85,10.6,7.85,0.36,0.32899999999999996,48.9,0.524,15.9,0.493,0.679,2,ARIZONA-STATE,ARIZONA-STATE,305,6,95,pac-12,10,730,1706,740,379,28,12,9,1120,Arizona State,278,349,105,770,1618,689,551,369,283,516,182,615,202,1053,455,1003,487,516,219,614,202,1008,373,1092,538,19,3,4,False
3,56.9,5,10.7,6,0.51,0.45,0.371,619,0.735,0.273,3,17.1,109.1,30.8,52.7,7.8,0.45799999999999996,0.397,0.336,0.711,0.239,92.0,25.7,1820,6.4,0.381,0.32,47.2,0.498,18.2,0.445,70.0,2158,20.27,9.6,8.2,0.34600000000000003,0.348,52.8,0.55,14.1,0.504,0.679,2,ARIZONA,ARIZONA,427,4,104,pac-12,9,748,1668,751,455,28,12,9,1130,Arizona,303,330,85,682,1576,626,529,376,259,541,126,600,192,941,407,976,434,509,190,577,201,1051,322,1091,550,19,4,4,True
4,46.0,6,9.7,9,0.501,0.439,0.40399999999999997,648,0.731,0.295,4,9.6,102.9,21.7,42.5,8.9,0.462,0.42100000000000004,0.409,0.703,0.28800000000000003,93.3,30.8,1889,7.0,0.326,0.254,54.7,0.508,19.9,0.502,71.1,2083,14.08,11.5,7.15,0.38799999999999996,0.32299999999999995,45.3,0.544,14.7,0.512,0.643,2,ARKANSAS,ARKANSAS,324,4,102,sec,6,674,1605,704,474,28,13,10,1140,Arkansas,213,279,87,770,1558,656,637,448,300,590,141,508,129,1070,461,1050,527,553,233,623,201,887,329,982,503,18,3,3,True
5,48.8,4,13.0,4,0.498,0.433,0.449,759,0.672,0.302,0,11.1,108.2,35.6,45.3,9.3,0.47200000000000003,0.413,0.325,0.711,0.231,97.1,27.7,1968,9.2,0.365,0.326,46.3,0.509,16.7,0.462,70.5,2193,14.92,8.9,6.88,0.431,0.301,53.7,0.534,15.0,0.5329999999999999,0.857,2,AUBURN,AUBURN,357,4,138,sec,11,766,1691,732,510,28,16,4,1150,Auburn,387,313,90,701,1675,691,544,387,294,599,186,611,199,995,388,1064,492,529,181,728,219,1153,361,963,513,24,2,4,False
6,55.1,0,12.8,1,0.498,0.43200000000000005,0.305,486,0.698,0.213,1,19.0,107.1,35.9,51.9,13.3,0.442,0.389,0.287,0.6859999999999999,0.19699999999999998,88.1,29.0,1585,8.4,0.349,0.305,46.9,0.475,19.5,0.434,66.6,1927,21.14,11.9,8.48,0.375,0.355,53.1,0.528,14.9,0.478,0.9259999999999999,2,BAYLOR,BAYLOR,379,8,122,big-12,14,662,1593,688,339,27,13,2,1080,Baylor,346,296,132,619,1467,570,421,289,271,491,152,512,156,890,405,955,414,445,214,597,212,1008,320,996,476,25,4,4,True
7,50.3,8,4.0,7,0.526,0.452,0.35700000000000004,622,0.7490000000000001,0.268,2,9.9,106.6,25.2,44.6,7.3,0.506,0.45,0.289,0.7190000000000001,0.20800000000000002,96.7,21.4,2081,8.3,0.379,0.29100000000000004,48.6,0.536,17.8,0.5479999999999999,70.3,2295,8.52,8.2,3.79,0.425,0.348,51.4,0.564,15.6,0.528,0.633,1,BOISE-STATE,BOISE-STATE,395,4,42,mwc,11,778,1740,786,466,30,13,11,1225,Boise State,258,343,73,766,1707,769,494,355,212,599,179,647,188,978,420,1060,581,511,176,739,257,1036,376,1001,529,19,2,1,False
8,53.4,7,7.3,11,0.465,0.406,0.292,487,0.665,0.19399999999999998,9,-6.9,93.0,25.4,52.7,9.1,0.506,0.44299999999999995,0.298,0.7120000000000001,0.212,99.9,30.5,2016,9.4,0.37200000000000005,0.33799999999999997,53.4,0.536,18.9,0.505,69.3,1876,2.35,11.6,7.18,0.39,0.301,46.6,0.493,16.9,0.473,0.44799999999999995,2,BOSTON-COLLEGE,BOSTON-COLLEGE,362,4,76,acc,7,681,1670,678,324,29,8,16,1165,Boston College,271,385,93,794,1647,730,490,349,299,490,190,612,207,1093,437,1035,523,451,234,652,196,952,388,1018,482,13,1,2,False
9,58.7,5,5.5,3,0.5920000000000001,0.503,0.24,429,0.706,0.17,1,16.2,113.7,20.4,45.6,6.8,0.494,0.442,0.282,0.696,0.196,97.5,23.7,2073,8.7,0.33399999999999996,0.311,50.5,0.522,16.4,0.508,70.0,2417,17.13,8.2,6.48,0.42200000000000004,0.42200000000000004,49.5,0.607,14.2,0.561,0.767,1,BRIGHAM-YOUNG,BRIGHAM-YOUNG,527,5,64,wcc,12,794,1786,898,303,30,14,7,1215,Brigham Young,195,353,70,760,1751,774,493,343,247,474,186,585,182,1007,390,1166,592,484,175,753,318,989,329,1033,580,23,4,4,True
10,51.3,6,7.8,8,0.522,0.46,0.301,456,0.73,0.22,3,8.7,105.4,28.9,53.8,9.2,0.46299999999999997,0.397,0.318,0.727,0.231,96.7,24.9,1758,8.6,0.389,0.337,46.7,0.502,15.5,0.435,64.6,1916,14.79,7.8,9.15,0.365,0.33799999999999997,53.3,0.5529999999999999,15.4,0.53,0.679,1,BUTLER,BUTLER,358,4,73,big-east,7,717,1517,698,333,28,12,9,1125,Butler,248,325,89,609,1521,604,483,351,238,468,157,591,199,847,322,930,405,471,142,553,187,965,316,964,511,19,4,3,False
11,41.1,8,6.7,9,0.47200000000000003,0.423,0.355,521,0.726,0.258,5,-8.3,94.6,24.5,51.5,9.5,0.49200000000000005,0.425,0.371,0.735,0.272,102.9,26.7,1916,7.3,0.389,0.349,50.7,0.534,15.5,0.473,65.9,1762,3.26,6.0,8.76,0.284,0.34600000000000003,49.3,0.514,17.4,0.45299999999999996,0.429,2,CALIFORNIA,CALIFORNIA,255,1,62,pac-12,6,689,1467,620,378,28,11,16,1130,University of California,222,333,100,684,1524,647,565,415,251,501,136,593,207,935,329,931,440,528,112,416,144,911,361,1051,476,12,1,1,True
12,53.4,6,8.1,10,0.486,0.42700000000000005,0.305,478,0.7070000000000001,0.21600000000000003,6,0.4,98.6,29.0,58.9,7.7,0.47700000000000004,0.419,0.293,0.741,0.217,98.2,30.8,1852,9.8,0.368,0.318,50.8,0.514,17.6,0.47700000000000004,69.2,1858,4.28,9.2,4.06,0.374,0.311,49.2,0.518,17.2,0.49700000000000005,0.519,1,CENTRAL-FLORIDA,CENTRAL-FLORIDA,357,4,81,aac,5,673,1565,669,338,27,8,13,1090,Central Florida,279,390,75,682,1581,662,463,343,299,488,185,582,185,981,385,999,477,450,174,585,182,952,371,980,487,14,3,3,True
13,58.3,5,12.5,4,0.504,0.446,0.387,605,0.6759999999999999,0.262,2,8.6,102.1,32.0,49.9,10.5,0.456,0.4,0.295,0.7340000000000001,0.21600000000000003,93.5,27.3,1816,9.5,0.34700000000000003,0.326,46.9,0.495,17.2,0.439,69.4,1984,12.66,9.3,6.44,0.361,0.317,53.1,0.536,17.6,0.519,0.667,1,CINCINNATI,CINCINNATI,407,4,131,aac,11,734,1564,698,409,27,12,9,1120,Cincinnati,300,321,105,637,1609,643,474,348,276,519,184,558,182,913,382,1051,461,487,180,564,179,1034,395,1000,519,18,3,4,False
14,55.8,7,7.9,9,0.505,0.431,0.28600000000000003,428,0.6779999999999999,0.19399999999999998,5,4.6,99.0,23.6,52.7,8.2,0.474,0.405,0.28300000000000003,0.716,0.203,94.4,24.9,1720,9.7,0.436,0.318,50.5,0.507,17.4,0.47200000000000003,66.5,1803,10.58,10.1,7.5,0.46399999999999997,0.321,49.5,0.53,16.7,0.526,0.519,2,CLEMSON,CLEMSON,360,3,67,acc,8,701,1497,645,290,27,10,13,1095,Clemson,218,319,66,705,1494,605,423,303,232,431,177,651,207,937,357,843,398,414,184,694,223,919,341,803,422,14,3,2,False
15,58.2,6,5.7,7,0.54,0.469,0.392,658,0.6729999999999999,0.264,4,4.8,106.1,26.0,50.0,7.7,0.513,0.441,0.23,0.73,0.168,101.3,24.2,2153,8.9,0.42200000000000004,0.33899999999999997,48.4,0.5379999999999999,16.2,0.516,69.7,2256,7.11,9.3,4.42,0.39,0.36200000000000004,51.6,0.5670000000000001,16.5,0.5379999999999999,0.633,1,COLORADO-STATE,COLORADO-STATE,458,5,59,mwc,10,804,1678,787,443,30,11,11,1220,Colorado State,262,398,79,744,1803,796,415,303,256,577,189,761,258,1000,386,1042,538,452,197,655,237,1066,394,1023,550,19,2,3,False
16,56.4,5,7.9,6,0.51,0.44,0.37,591,0.736,0.273,3,11.8,104.3,31.0,45.9,8.9,0.46299999999999997,0.408,0.256,0.7070000000000001,0.18100000000000002,92.5,23.8,1829,10.7,0.32,0.34,45.6,0.493,17.1,0.44,67.9,2064,16.38,8.3,8.28,0.387,0.364,54.4,0.55,17.0,0.488,0.7240000000000001,2,COLORADO,COLORADO,396,4,89,pac-12,10,783,1596,702,435,29,13,8,1165,Colorado,297,310,87,662,1653,675,423,299,245,549,211,529,180,907,382,1124,495,423,164,618,225,1080,385,978,477,21,4,4,True
17,51.3,7,15.5,8,0.475,0.41700000000000004,0.33,558,0.735,0.242,3,7.4,100.7,33.4,50.7,10.5,0.46399999999999997,0.414,0.35,0.7340000000000001,0.257,93.3,28.9,1868,10.1,0.299,0.33299999999999996,48.3,0.508,19.5,0.44799999999999995,69.0,2017,10.62,10.0,5.3,0.355,0.32799999999999996,51.7,0.515,17.0,0.466,0.5710000000000001,1,CONNECTICUT,CONNECTICUT,362,1,171,aac,7,710,1692,705,410,28,13,12,1160,Connecticut,352,331,115,702,1578,653,552,405,289,529,202,472,157,991,445,1106,496,520,201,601,197,1062,402,1091,508,16,3,2,False
18,56.7,4,6.2,4,0.552,0.47100000000000003,0.298,493,0.738,0.22,1,12.8,110.7,23.4,49.9,9.5,0.473,0.41600000000000004,0.226,0.713,0.161,97.9,29.3,1935,6.8,0.385,0.301,51.3,0.5,15.4,0.48700000000000004,70.3,2189,17.43,9.5,9.39,0.42,0.385,48.7,0.58,14.3,0.534,0.7859999999999999,1,CREIGHTON,CREIGHTON,442,6,67,big-east,11,761,1653,779,364,28,15,6,1125,Creighton,220,362,91,719,1747,726,394,281,315,464,135,672,202,1034,353,1075,524,428,187,694,267,981,314,959,512,22,4,4,True
19,56.1,7,7.8,6,0.535,0.45299999999999996,0.309,468,0.7609999999999999,0.235,1,9.8,108.5,25.2,49.9,9.4,0.48,0.42100000000000004,0.33,0.71,0.23399999999999999,98.7,24.4,1798,7.7,0.369,0.324,48.9,0.516,15.1,0.47700000000000004,65.7,1977,9.42,8.3,2.79,0.447,0.36700000000000005,51.1,0.569,14.8,0.521,0.556,1,DAVIDSON,DAVIDSON,385,4,74,atlantic-10,9,700,1516,686,356,27,10,12,1110,Davidson,222,316,79,658,1505,633,496,352,226,458,141,555,180,884,310,950,453,442,152,678,249,922,303,838,437,15,4,2,False
20,60.3,0,9.0,0,0.591,0.52,0.342,536,0.722,0.247,0,21.3,115.5,26.6,47.0,8.1,0.467,0.414,0.306,0.653,0.2,94.2,27.4,1825,8.0,0.324,0.32799999999999996,48.0,0.495,16.7,0.455,68.3,2238,18.46,8.6,3.71,0.392,0.364,52.0,0.615,16.1,0.621,0.929,1,DAYTON,DAYTON,491,8,98,atlantic-10,15,752,1565,814,387,28,15,2,1135,Dayton,223,313,77,615,1609,666,493,322,284,506,155,522,171,899,370,1087,495,475,166,613,223,975,350,952,591,26,4,4,True
21,53.1,7,15.7,13,0.496,0.447,0.33399999999999996,560,0.6409999999999999,0.214,7,2.0,99.4,31.0,58.8,9.0,0.484,0.413,0.363,0.736,0.268,97.4,29.3,1986,10.7,0.42,0.341,49.3,0.527,19.6,0.465,72.1,2025,8.57,11.7,8.2,0.304,0.325,50.7,0.521,17.6,0.5,0.5,1,DEPAUL,DEPAUL,398,4,146,big-east,2,726,1678,750,359,28,10,14,1130,DePaul,325,390,105,722,1607,663,584,430,301,507,219,675,230,1023,460,932,433,542,238,510,166,1051,414,1168,584,14,3,2,False
22,52.2,3,13.5,4,0.531,0.475,0.348,621,0.7070000000000001,0.24600000000000002,2,20.2,111.5,34.7,47.6,8.5,0.45799999999999996,0.41700000000000004,0.313,0.67,0.21,91.3,27.6,1910,9.9,0.27,0.301,46.1,0.49,18.0,0.46,73.4,2331,22.83,11.3,7.79,0.316,0.35100000000000003,53.9,0.561,15.3,0.5329999999999999,0.821,2,DUKE,DUKE,442,7,167,acc,13,772,1782,847,439,28,13,5,1140,Duke,356,337,104,670,1698,708,531,356,294,530,208,458,138,964,429,1240,570,506,236,564,198,1128,375,1218,649,23,4,4,True
23,57.0,3,15.5,6,0.51,0.442,0.31,478,0.73,0.226,3,8.6,104.4,29.3,52.4,8.9,0.475,0.418,0.289,0.662,0.191,95.8,29.5,1765,9.0,0.37,0.305,49.7,0.502,17.2,0.485,67.6,1923,6.97,10.0,1.12,0.431,0.315,50.3,0.5429999999999999,15.9,0.5379999999999999,0.7040000000000001,1,DUQUESNE,DUQUESNE,389,5,151,atlantic-10,9,670,1544,682,349,27,9,8,1090,Duquesne,268,339,78,647,1547,647,447,296,280,463,165,573,175,927,366,974,472,409,185,666,210,938,336,878,472,19,3,4,False
24,57.6,10,9.6,11,0.467,0.42,0.369,610,0.725,0.268,6,-3.6,95.9,27.4,55.4,8.4,0.494,0.424,0.402,0.6579999999999999,0.264,99.5,26.0,2060,9.7,0.42200000000000004,0.32899999999999996,49.3,0.526,16.6,0.493,70.8,1986,-1.07,9.5,1.48,0.33399999999999996,0.28300000000000003,50.7,0.511,17.0,0.489,0.379,1,EAST-CAROLINA,EAST-CAROLINA,400,1,91,aac,5,758,1652,694,442,29,9,18,1170,East Carolina,280,387,92,741,1646,698,661,435,267,551,200,695,229,1008,391,951,469,603,197,551,156,1038,397,1101,538,11,1,1,True
25,49.1,4,16.4,3,0.521,0.45799999999999996,0.301,500,0.76,0.22899999999999998,0,14.3,107.6,33.7,44.1,7.5,0.467,0.405,0.34700000000000003,0.742,0.257,93.3,30.5,1834,7.7,0.391,0.319,48.2,0.511,20.8,0.45899999999999996,69.5,2114,17.54,12.7,7.54,0.355,0.359,51.8,0.556,16.5,0.512,0.857,2,FLORIDA-STATE,FLORIDA-STATE,374,6,154,acc,14,669,1663,761,380,28,15,4,1130,Florida State,317,275,80,625,1540,623,534,396,293,484,152,602,192,918,470,938,431,486,249,590,212,986,375,1073,549,24,4,4,True
26,45.7,6,11.4,5,0.519,0.455,0.345,544,0.726,0.25,3,9.2,107.2,31.1,48.1,6.7,0.474,0.41600000000000004,0.34600000000000003,0.733,0.254,98.0,27.0,1859,8.4,0.364,0.316,47.4,0.516,16.9,0.473,67.1,2032,14.93,8.7,8.75,0.369,0.345,52.6,0.5529999999999999,15.5,0.52,0.643,2,FLORIDA,FLORIDA,328,3,112,sec,10,710,1578,718,395,28,11,10,1130,Florida,287,310,67,637,1548,644,536,393,263,511,160,563,178,900,366,985,466,484,165,583,201,997,337,995,517,18,4,3,False
27,56.5,7,9.1,14,0.446,0.379,0.272,396,0.634,0.172,11,-6.8,87.5,21.8,61.8,8.1,0.475,0.40399999999999997,0.318,0.6859999999999999,0.218,94.3,27.5,1671,10.4,0.461,0.308,53.5,0.508,18.6,0.486,64.7,1551,-4.21,10.8,0.23,0.425,0.316,46.5,0.47100000000000003,17.1,0.425,0.259,1,FORDHAM,FORDHAM,312,0,70,atlantic-10,1,668,1458,552,251,27,6,20,1095,Fordham,213,357,68,762,1430,578,455,312,253,431,184,659,203,1015,377,771,375,464,192,620,196,881,340,838,356,7,1,2,False
28,51.7,10,11.0,11,0.5,0.419,0.303,486,0.7,0.212,7,0.4,103.9,31.2,51.6,8.2,0.489,0.41600000000000004,0.293,0.755,0.221,103.5,26.9,1936,8.5,0.40700000000000003,0.358,48.0,0.526,13.8,0.456,65.3,1942,2.26,7.6,3.7,0.485,0.335,52.0,0.529,16.3,0.498,0.35700000000000004,1,FRESNO-STATE,FRESNO-STATE,347,4,105,mwc,6,729,1603,671,340,28,6,18,1145,Fresno State,316,347,68,698,1615,672,473,357,268,471,159,657,235,966,295,958,437,460,142,777,260,1045,356,826,411,10,1,1,True
29,45.3,7,13.0,11,0.47100000000000003,0.419,0.332,528,0.703,0.233,6,-0.9,98.9,32.9,49.9,9.6,0.491,0.431,0.292,0.679,0.198,99.8,28.8,1887,9.6,0.381,0.312,48.2,0.518,16.6,0.505,67.2,1871,1.1,9.0,1.67,0.342,0.305,51.8,0.508,16.9,0.479,0.536,1,GEORGE-MASON,GEORGE-MASON,302,2,129,atlantic-10,4,706,1591,667,371,28,10,13,1125,George Mason,333,344,101,680,1600,690,467,317,285,507,181,609,190,965,362,991,500,465,171,544,166,1039,375,1047,501,15,1,2,False
30,52.1,7,10.6,9,0.496,0.42700000000000005,0.33399999999999996,511,0.708,0.237,8,-4.0,98.7,23.7,44.3,11.6,0.49200000000000005,0.445,0.309,0.682,0.21100000000000002,102.7,27.9,1957,10.1,0.299,0.315,51.6,0.521,13.9,0.501,66.8,1880,-2.39,7.9,0.36,0.42,0.327,48.4,0.53,16.8,0.5,0.429,1,GEORGE-WASHINGTON,GEORGE-WASHINGTON,341,3,122,atlantic-10,6,712,1530,654,362,28,7,16,1140,George Washington,226,323,103,726,1637,729,506,345,275,490,193,489,154,1001,302,1148,575,463,150,642,210,938,358,888,444,12,1,2,False
31,56.5,6,11.5,10,0.491,0.44,0.354,596,0.777,0.275,6,2.8,105.5,32.7,58.6,7.5,0.505,0.431,0.27,0.727,0.196,102.7,28.3,2062,10.4,0.413,0.358,47.5,0.534,16.3,0.483,71.7,2119,11.05,8.7,9.01,0.29600000000000004,0.349,52.5,0.5379999999999999,15.9,0.478,0.536,1,GEORGETOWN,GEORGETOWN,419,4,115,big-east,5,749,1685,741,463,28,10,13,1120,Georgetown,332,432,89,682,1710,737,461,335,296,537,209,707,253,978,375,1003,484,452,174,499,174,1081,372,1186,567,15,2,3,False
32,54.4,7,11.5,9,0.5,0.45399999999999996,0.33899999999999997,532,0.667,0.226,6,2.1,96.3,28.5,53.3,9.2,0.45299999999999996,0.406,0.35600000000000004,0.711,0.253,94.2,28.3,1883,10.6,0.32799999999999996,0.289,48.8,0.496,16.8,0.462,70.8,1925,9.92,9.6,9.4,0.301,0.309,51.2,0.528,19.7,0.516,0.5,2,GEORGIA-TECH,GEORGIA-TECH,387,5,126,acc,8,733,1570,712,355,28,8,14,1130,Georgia Tech,264,351,101,661,1625,659,578,411,290,507,212,533,154,951,383,1092,505,536,192,473,146,997,447,1097,566,14,3,2,False
33,49.9,8,8.4,11,0.505,0.447,0.341,581,0.7020000000000001,0.239,4,1.2,103.3,32.7,46.4,9.2,0.504,0.449,0.303,0.652,0.198,102.1,30.4,2104,9.0,0.34600000000000003,0.32,48.6,0.527,16.0,0.518,72.3,2130,8.08,10.1,7.23,0.38799999999999996,0.3,51.4,0.5379999999999999,17.6,0.541,0.5,2,GEORGIA,GEORGIA,380,3,96,sec,4,734,1704,762,408,28,11,14,1140,Georgia,336,363,96,693,1744,783,529,345,320,506,185,604,193,1013,380,1140,590,530,209,661,198,1070,422,1043,564,14,2,1,False
34,53.9,1,9.7,1,0.575,0.513,0.387,721,0.684,0.265,0,27.9,119.7,33.6,44.4,7.1,0.47100000000000003,0.41700000000000004,0.212,0.684,0.145,91.8,23.0,2020,8.5,0.33799999999999997,0.318,43.6,0.493,16.8,0.467,73.0,2634,22.88,10.5,2.42,0.32,0.387,56.4,0.597,13.4,0.5720000000000001,0.9329999999999999,1,GONZAGA,GONZAGA,515,10,119,wcc,14,876,1863,955,493,30,16,2,1205,Gonzaga,344,344,90,680,1859,775,395,270,262,579,187,629,200,942,414,1230,575,439,232,597,231,1220,340,1266,724,28,4,4,True
35,51.7,5,15.0,4,0.489,0.43,0.33899999999999997,564,0.73,0.248,2,16.0,108.5,38.4,54.8,5.6,0.43700000000000006,0.381,0.401,0.685,0.275,92.5,25.4,1737,7.7,0.39299999999999996,0.29,43.4,0.483,15.8,0.439,66.8,2038,16.36,7.4,5.61,0.34700000000000003,0.34,56.6,0.527,14.9,0.47700000000000004,0.75,1,HOUSTON,HOUSTON,370,6,138,aac,11,767,1664,715,412,28,12,7,1125,Houston,390,315,61,625,1511,575,606,415,261,537,144,594,172,886,338,917,403,548,139,577,196,1157,338,1087,519,21,4,3,False
36,50.7,5,7.0,6,0.489,0.441,0.33399999999999996,556,0.728,0.244,3,11.5,106.3,36.6,45.2,7.9,0.46799999999999997,0.414,0.22399999999999998,0.698,0.156,94.8,24.6,1811,8.7,0.33299999999999996,0.326,43.8,0.494,15.1,0.45799999999999996,67.9,2031,15.28,7.0,9.06,0.305,0.311,56.2,0.527,15.3,0.499,0.679,2,ILLINOIS,ILLINOIS,372,6,77,big-ten,11,767,1663,734,405,28,13,9,1125,Illinois,365,310,91,632,1657,686,371,259,250,527,166,552,180,882,327,1105,506,440,134,508,158,1132,349,1155,576,19,4,3,False
37,50.6,7,12.7,9,0.491,0.444,0.414,655,0.682,0.282,3,6.5,103.5,33.0,52.3,8.5,0.483,0.42100000000000004,0.331,0.6829999999999999,0.226,97.0,24.9,1877,9.1,0.39299999999999996,0.319,45.9,0.515,16.2,0.486,68.8,2003,14.65,8.2,10.15,0.298,0.318,54.1,0.529,16.2,0.498,0.643,2,INDIANA,INDIANA,356,2,121,big-ten,8,731,1583,703,447,28,14,10,1125,Indiana,320,346,94,649,1574,662,521,356,243,541,177,618,197,892,353,956,465,488,158,472,150,1051,366,1111,553,18,2,2,True
